	7 days post-amputation wildtype adult zebrafish, sample 2	7 days post-amputation wildtype adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 2	7 days post-amputation wildtype adult zebrafish, sample 3	Unamputated wildtype adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 3	Unamputated wildtype adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	Unamputated dnHIF1a-expressing adult zebrafish, sample 2
AFFX-BioB-3	0.529713913105769	0.454312644913462	0.583988184365385	0.532017634826923	0.4102093772884621	0.41933184880769203	0.41079860118269207	0.614300377442308	0.47383118316346207	0.448638277394231	0.5540205845	0.379890826326923
AFFX-BioB-5	0.605709935384615	0.585217653807692	0.666815122663461	0.645506956192308	0.563659547509615	0.5428080366057689	0.45807612291346206	0.7775223016346151	0.698461416567308	0.592049451663461	0.755491076644231	0.567485024125
AFFX-BioB-M	0.7955088669711541	0.70183624625	0.839575445644231	0.8062738997980771	0.8190998025	0.762104870942308	0.687745444701923	0.9199226466346151	0.851201381423077	0.777825071673077	0.890847844836538	0.78734351925
AFFX-BioC-3	1.09916817969231	1.03414824783654	1.22115961456731	1.1275587374711498	1.11056757571154	1.08118768603846	1.00488700484615	1.22726372623077	1.1515506558750002	1.1206643278461499	1.19682253911538	1.12657518245192
AFFX-BioC-5	1.02254029625962	0.912187927009615	1.1029454819230802	1.0015753575192299	1.0057249149230798	0.9687812033557691	0.9199226466346151	1.1206643278461499	1.03851607357692	0.964462258326923	1.07615258516346	0.994106092038461
AFFX-BioDn-3	2.20643362381731	2.22812697359615	2.32722569026923	2.29261149138462	2.19358232168269	2.19576918593269	2.14414578988462	2.3097486524423103	2.26233073120192	2.23945994289423	2.29498487285577	2.23715746376923
AFFX-BioDn-5	1.6153136644038502	1.5705380628461498	1.66041625872115	1.64812555750962	1.59564668407692	1.57412746921154	1.54127894995192	1.72074183518269	1.6542525327307702	1.58521244891346	1.70675036815385	1.53180903131731
AFFX-CreX-3	3.72894368510577	3.62417687026923	3.39893382900962	3.557535879875	3.45749345053846	3.2355168607884597	3.6617228946249996	3.5081647637307696	3.4954367927788503	3.4508720286346204	3.38539886555769	3.36562399392308
AFFX-CreX-5	3.26886914185577	3.12978093030769	3.12978093030769	3.0975160307788503	3.0911861327596197	3.07237827247115	3.1615717401057704	3.14194885018269	3.05352441371154	3.0227488352307703	3.13570683392308	3.0975160307788503
AFFX-DapX-3	1.5632803924423102	1.53953443725962	1.44958727575	1.45110637523077	1.62613713685577	1.51512014348077	1.45583039748077	1.50440004033654	1.43735866365385	1.48072010511538	1.38192218239423	1.4611950136730802
