logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000019815	0.742237986666667	0.388619721666667	17.7186305986686	5.16638906795284e-10	4.82592402837475e-06	12.6871635643977
ENSDARG00000055575	1.04049850833333	0.59418375	16.4038669665803	1.26689740381029e-09	5.91704432449596e-06	11.9892786547057
ENSDARG00000010519	0.566257603333333	0.332066128333333	15.1800130393829	3.10526272522806e-09	9.6687530387851e-06	11.2642421749362
ENSDARG00000058094	1.26173879833333	0.624293495833333	13.6085345397837	1.08654390347247e-08	2.09138961816349e-05	10.2092464746036
ENSDARG00000078322	2.30839232	1.42129460916667	13.5729249268019	1.11946773266432e-08	2.09138961816349e-05	10.1835447983254
ENSDARG00000061140	0.861055921666667	0.4980926425	12.1414557127511	3.95042588787087e-08	6.15015470310029e-05	9.07623954260959
ENSDARG00000002396	0.316299743333333	0.154841196666667	11.5146308164113	7.1485220576818e-08	8.44541782434852e-05	8.54185116672669
ENSDARG00000016691	0.685050773333333	0.38041995	11.4651658826601	7.49973216407572e-08	8.44541782434852e-05	8.49828504960086
ENSDARG00000093440	0.380206406666667	0.1986228525	11.3814532154077	8.13711170315134e-08	8.44541782434852e-05	8.42407567940589
ENSDARG00000006112	0.411566255	0.183514259166667	10.618215224074	1.75353398084168e-07	0.00015231365053748	7.71862506908421
ENSDARG00000016771	2.31987458	1.5050477275	10.5963886455535	1.79365181020478e-07	0.00015231365053748	7.69765837535646
ENSDARG00000057706	1.23306229333333	0.8034731175	10.2112695108496	2.69063951424947e-07	0.000209443864188369	7.32010546428855
ENSDARG00000036427	0.606307045	0.333986106666667	10.1098003423847	3.00022402683141e-07	0.000215577635651017	7.21818289513628
ENSDARG00000036036	2.237174375	1.48524871	9.88533682197051	3.82960627600749e-07	0.000239184123991416	6.98898321277896
ENSDARG00000102403	0.927247628333334	0.61783422	9.80247469253051	4.19537541730459e-07	0.000239184123991416	6.90305124876945
ENSDARG00000034643	0.544553396666667	0.3259001175	9.73235749922667	4.53421758633556e-07	0.000239184123991416	6.82977110677337
ENSDARG00000104267	2.32868403	1.52065929166667	9.72481143145134	4.57239804810365e-07	0.000239184123991416	6.82185355167244
ENSDARG00000063612	0.219482151666667	0.129379955	9.71763067720614	4.60905067106893e-07	0.000239184123991416	6.81431366502216
ENSDARG00000044074	0.5780601	0.354525543333333	9.64909388324514	4.97518087335129e-07	0.000244595602831444	6.74207194449255
ENSDARG00000024195	0.77397955	0.479001413333333	9.52800861021554	5.70053786346665e-07	0.000261252510658555	6.61320481515798
ENSDARG00000070603	0.300174051666667	0.12790575	9.49289741788391	5.93151018887448e-07	0.000261252510658555	6.57553909845183
ENSDARG00000060127	0.273009106666667	0.132405029166667	9.4599470071219	6.15741762155228e-07	0.000261252510658555	6.54006856470848
ENSDARG00000037307	0.314383531666667	0.143003981666667	9.4215016833155	6.43272427486005e-07	0.000261252510658555	6.49853189673739
ENSDARG00000045408	1.813835215	1.19274927416667	9.21281549105606	8.1766005533843e-07	0.000316725202426803	6.27019669352423
ENSDARG00000053097	0.833337975	0.542519855833333	9.18176422371276	8.47674773650581e-07	0.000316725202426803	6.23580300108384
