logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000104315	0.984049799860758	0.535168623082006	20.3214269496966	2.89216971110512e-09	2.66831577546558e-05	11.0397582781613
ENSDARG00000101341	-0.65452790354983	0.9802753551629	-15.9334749347629	2.86339762192229e-08	0.000132088532299275	9.31018455544683
ENSDARG00000034503	0.927062230003423	0.624594249857057	14.4839151499483	6.97022549890792e-08	0.000187224025365325	8.57461855932073
ENSDARG00000014945	0.572778701611161	0.749260497599468	13.9178768591378	1.00896690164381e-07	0.000187224025365325	8.25943001591336
ENSDARG00000019113	-0.623047319734074	0.838622566068432	-13.9094327845354	1.01465437548951e-07	0.000187224025365325	8.25459945676045
ENSDARG00000005799	-0.945718348578729	1.08337251743904	-12.4980801367439	2.71985320347756e-07	0.000401076314070231	7.38957680172379
ENSDARG00000028396	2.1225595256042	1.17851600516024	12.3458217891655	3.0430676333098e-07	0.000401076314070231	7.28894858526361
ENSDARG00000035399	-0.57245233544313	0.37388426928296	-12.0528046981113	3.79041710305126e-07	0.000437129852409386	7.09096579829329
ENSDARG00000105096	-2.84502695608334	2.59686252652661	-11.7645720948852	4.72640786025025e-07	0.000484509321318542	6.89048294848808
ENSDARG00000043531	0.870909592285941	0.626194041762404	11.2480463349678	7.10519989725559e-07	0.000655525742520801	6.5162919757569
ENSDARG00000011239	-0.762702781857805	0.788681624339746	-11.1072072891003	7.96308403385203e-07	0.00066788557542108	6.41080068619518
ENSDARG00000040334	1.04706252723498	1.80090034778733	10.8715577285902	9.66367672238896e-07	0.000742975678673004	6.23084408332745
ENSDARG00000038075	0.668700988060495	1.86946594845363	10.7609694365027	1.05958293384089e-06	0.000751977857508928	6.14487038670716
ENSDARG00000036868	-0.538555322155975	0.448367626724265	-10.4934228398695	1.32851982000796e-06	0.00079190528626336	5.93274191679138
ENSDARG00000071906	0.56058436311399	0.683862770879607	10.4175440858507	1.41780761897372e-06	0.00079190528626336	5.87149408826823
ENSDARG00000010149	0.757422879814575	2.76438819466786	10.2874897790417	1.58651963718753e-06	0.00079190528626336	5.76537648831078
ENSDARG00000036038	-0.442410586094806	0.247754625740645	-10.2869556741388	1.58725628768362e-06	0.00079190528626336	5.76493768882144
