Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000104315	0.9797633399863631	0.5623370482632527	20.221718060212254	2.9654700914757174e-9	2.735942706395497e-5	11.031529666164154
ENSDARG00000101341	-0.6505860272521244	1.0051318788803418	-15.883688562421415	2.895358493881716e-8	1.3356288732276357e-4	9.305939422773772
ENSDARG00000034503	0.9219813302749765	0.6515453552820737	14.486338986157422	6.842700606384846e-8	1.8751946143437566e-4	8.593576435789183
ENSDARG00000014945	0.5699024990748423	0.7756559667863532	13.886569625333049	1.0135434799506656e-7	1.8751946143437566e-4	8.258341326835767
ENSDARG00000019113	-0.6196191967103865	0.8643649655911037	-13.882568992963769	1.0162554814349429e-7	1.8751946143437566e-4	8.256040953428371
ENSDARG00000005799	-0.9383565324133286	1.1067382398749273	-12.51418090861629	2.6481214319090216e-7	3.651948626253262e-4	7.415053247922765
ENSDARG00000028396	2.100403946405222	1.1969594360645366	12.45258089414562	2.770825968325692e-7	3.651948626253262e-4	7.374499343316332
ENSDARG00000035399	-0.5697182682827755	0.40203578642327836	-12.007456167272904	3.8671252297930677e-7	4.0712834203573224e-4	7.0739929126569745
ENSDARG00000105096	-2.7843813107625306	2.589539873964377	-11.972494676080814	3.9715533040554846e-7	4.0712834203573224e-4	7.049821951317851
ENSDARG00000043531	0.8662782529118289	0.6531880534314484	11.24449651575733	7.029895385507969e-7	6.485781482669652e-4	6.526701021661726
ENSDARG00000011239	-0.7585201784131727	0.8147246949873936	-11.109783008023575	7.840983340474168e-7	6.57644657265588e-4	6.425588274042884
ENSDARG00000040334	1.0299534652842277	1.8154474965894303	10.921400538905322	9.152245144193506e-7	7.036551141694108e-4	6.281829065371667
ENSDARG00000038075	0.6571611701339682	1.883645615222109	10.708494554897886	1.0930530418613298e-6	7.757313357086638e-4	6.115957417806445
ENSDARG00000036868	-0.5357570002864205	0.4763207843205331	-10.453374580812362	1.3576749063952467e-6	7.765824597312257e-4	5.912307550333569
ENSDARG00000071906	0.5577869259231769	0.7106687029209843	10.40693728719107	1.413007624001528e-6	7.765824597312257e-4	5.87465208004085
ENSDARG00000036038	-0.4408546226847084	0.27635414676050185	-10.24717457787079	1.6230713658863632e-6	7.765824597312257e-4	5.74369288732481
ENSDARG00000078703	-0.5728318144938258	0.6018007917772074	-10.241416017031996	1.6312557555212182e-6	7.765824597312257e-4	5.738931361989216
ENSDARG00000015610	0.38372378049592265	0.5990829726804674	10.22840825609166	1.6499098756979702e-6	7.765824597312257e-4	5.728165131504792
ENSDARG00000037789	2.4875967630898344	1.090916657165729	10.217314657019116	1.6660034924951248e-6	7.765824597312257e-4	5.718971551574853
ENSDARG00000039269	1.8569519435107507	0.9681861455346984	10.178913250248208	1.7230535852789103e-6	7.765824597312257e-4	5.6870641083881015
ENSDARG00000069045	-0.6093132778231624	0.49753895134254483	-10.127673290146095	1.8025327102275285e-6	7.765824597312257e-4	5.644287445564974
ENSDARG00000010149	0.7354873728207376	2.7593262554334492	10.097130097755583	1.8518116317024674e-6	7.765824597312257e-4	5.6186787463465375
ENSDARG00000031683	1.2900168735704942	0.6949091739015963	10.03143645620386	1.962874115884571e-6	7.873685475283066e-4	5.563317336668215
ENSDARG00000045940	0.36826179679036386	0.8650733152575589	9.866051265100534	2.276123223934019e-6	8.253719736127446e-4	5.422224253494472
ENSDARG00000074161	0.42642111222008117	1.1069521910953841	9.850623789828457	2.3080223168438073e-6	8.253719736127446e-4	5.408935875776926
ENSDARG00000007377	0.785920762110983	1.1695647069137531	9.842031843373968	2.3259994920801383e-6	8.253719736127446e-4	5.401525775162137
ENSDARG00000013522	2.2617619216878335	1.027959504441743	9.76755750671533	2.4884011181575915e-6	8.433970484351798e-4	5.337010405364623
ENSDARG00000022817	2.815478664321869	1.3129789100186378	9.649469560902197	2.7719119257957206e-6	8.433970484351798e-4	5.233655668938368
ENSDARG00000055510	-1.098434691750911	1.1051990555304176	-9.647765436104887	2.7762535294724393e-6	8.433970484351798e-4	5.232154576965701
ENSDARG00000020345	0.5384734379312762	0.8899014364465957	9.646490241678407	2.779507210000824e-6	8.433970484351798e-4	5.231031132433543
ENSDARG00000019383	0.5583402062871606	0.7131912973008799	9.625421449233663	2.8338725884988696e-6	8.433970484351798e-4	5.212447312467683
ENSDARG00000054362	0.7189385682540098	1.1372628786061159	9.41610739569223	3.4418621664853365e-6	9.679956309157372e-4	5.025518213860572
ENSDARG00000036704	-0.5091808073824377	1.2997075005802174	-9.372150813592667	3.5868756549465033e-6	9.679956309157372e-4	4.985724212714295
ENSDARG00000075314	-0.8424440874732243	0.7177502178077603	-9.360211255618426	3.6274083759820095e-6	9.679956309157372e-4	4.974882638496327
ENSDARG00000037091	-0.5933024535088475	0.08537186970335622	-9.304244431828856	3.824197017475653e-6	9.679956309157372e-4	4.923875665838791
ENSDARG00000100515	1.3227870324838436	2.245312744879255	9.27923142445201	3.91589393736547e-6	9.679956309157372e-4	4.900979274344733
ENSDARG00000033273	-0.3324908357602616	0.16777814728443932	-9.274377223819434	3.933966177875982e-6	9.679956309157372e-4	4.896528648422459
ENSDARG00000020114	2.343731713606288	1.8951921318494798	9.224020938433128	4.126915129111252e-6	9.679956309157372e-4	4.850220550771613
ENSDARG00000053452	-0.5775489385370378	0.4476505672887804	-9.208236314807435	4.189507014947243e-6	9.679956309157372e-4	4.835652728000358
ENSDARG00000042874	1.3213107841468548	1.335340068537998	9.204998599469075	4.202473523758592e-6	9.679956309157372e-4	4.832661515184988
ENSDARG00000103980	0.5635309795179552	0.32510782137207617	9.180568709262188	4.301736491171171e-6	9.679956309157372e-4	4.810057656759051
ENSDARG00000087993	-0.682230786607135	0.4838676077705227	-9.051085851675683	4.872476405508024e-6	0.0010018621069540525	4.6892454412579205
ENSDARG00000008447	0.5393368308092905	1.2122496572913155	9.038507263712026	4.932182830330973e-6	0.0010018621069540525	4.677418119771927
ENSDARG00000061120	1.6529633051064823	1.6654903845789577	9.021739951920521	5.013017683169966e-6	0.0010018621069540525	4.661626997764037
ENSDARG00000001767	-0.507631162635507	0.27321219731417595	-9.020126737744713	5.0208709280559026e-6	0.0010018621069540525	4.66010618076502
ENSDARG00000041691	1.291199526825828	1.0823931245079166	9.019144150755318	5.025660817186326e-6	0.0010018621069540525	4.659179740453661
ENSDARG00000002768	2.381082451973897	0.9294119510785813	9.003260818279124	5.103784850080259e-6	0.0010018621069540525	4.644190217391685
ENSDARG00000075933	0.30388241256617626	0.30475108626241115	8.852838843124854	5.9130606072467425e-6	0.0010916318682774322	4.500935270504577
ENSDARG00000059398	0.44436877004402203	0.5815104638611973	8.852380538249875	5.915730869821131e-6	0.0010916318682774322	4.500495187503166
ENSDARG00000015006	0.3989667014488546	0.8921117239852083	8.852323620700545	5.916062585505268e-6	0.0010916318682774322	4.500440531411359
ENSDARG00000006192	0.39418071868300686	0.37373603182096093	8.707260140381416	6.831358034183926e-6	0.001235806063203547	4.3600253397502975
ENSDARG00000039268	0.5013742200317853	1.0829705117660362	8.61506190369465	7.492818411799935e-6	0.001329398897447427	4.2696097950541265
ENSDARG00000005004	0.9880377044177507	2.6563161976301313	8.583505095299403	7.735019401841952e-6	0.001338085482716694	4.238451414437478
ENSDARG00000016143	0.703584053445086	1.0166750187094251	8.57118979036121	7.831846527932091e-6	0.001338085482716694	4.226262124294719
ENSDARG00000043287	-0.4138596929069243	0.8555698407654065	-8.53513842690361	8.122977501284768e-6	0.001362592553215514	4.190484183260329
ENSDARG00000004311	-0.7815267483195318	0.8034376504177005	-8.516515545666234	8.2779732241907e-6	0.001363796088685418	4.171946626014821
ENSDARG00000098666	0.3836177667337759	0.5219683721107811	8.485742091203994	8.541213740863255e-6	0.0013786810728831946	4.141230362222533
ENSDARG00000105042	0.8289565411087326	0.2796637751846413	8.471379068808208	8.6671907898575e-6	0.0013786810728831946	4.126858188708404
ENSDARG00000088449	-0.662726591455451	1.5003498382688694	-8.450064464088731	8.857890486646113e-6	0.0013851338581321532	4.105487832223554
ENSDARG00000007409	-0.41919514852348505	0.41005899876266577	-8.413729530936278	9.193611014538517e-6	0.0014136709203355394	4.0689413180406255
ENSDARG00000029292	-0.41247215612950616	0.7351672759526735	-8.393409345995753	9.387392973502538e-6	0.0014198047143202362	4.048438530406486
ENSDARG00000071679	-0.4825320916263895	0.6975797506866895	-8.333818611170914	9.981824583302345e-6	0.0014853598968636683	3.988045028849676
ENSDARG00000075709	0.5493580628663862	1.6842984553952536	8.291287237575983	1.0431150440658887e-5	0.0015275840311987127	3.944695577638644
ENSDARG00000059057	-0.37930032181575335	0.5558981037607523	-8.252774985149713	1.0857084856198577e-5	0.0015460185509662669	3.905265292225643
ENSDARG00000103578	-0.33922135531254116	1.0030407818873535	-8.24967591457577	1.089217492009618e-5	0.0015460185509662669	3.9020849962440334
ENSDARG00000060729	0.4027139005262742	0.48374007254207546	8.223931120680062	1.1188502542493773e-5	0.001564017037227993	3.875622980759603
ENSDARG00000037910	0.3246820569373052	0.19576940268459792	8.17474692996981	1.1779350660855864e-5	0.001622034167120242	3.824857108704519
ENSDARG00000035458	1.9131705493983562	0.9283060315441003	8.144117992719488	1.2164425181459526e-5	0.0016376755961839862	3.7931022625172908
ENSDARG00000060917	-0.4003611944679361	0.2842023247279477	-8.137613617926581	1.2247953190623787e-5	0.0016376755961839862	3.786344811112116
ENSDARG00000021389	0.4982263837713019	0.48379790074920187	8.086937124879096	1.2920546247352545e-5	0.0016871647940241677	3.7335282050845517
ENSDARG00000103979	-0.903419506974014	2.332412263057347	-8.079962605179777	1.3016222506163189e-5	0.0016871647940241677	3.726235717279444
ENSDARG00000040565	2.3254199712869488	1.3052046467054574	8.055428855130547	1.3358958245383485e-5	0.0016871647940241677	3.7005382695255893
ENSDARG00000093382	-0.5345939394539913	0.5253210461024137	-8.046691122893586	1.3483388412603563e-5	0.0016871647940241677	3.6913690534967305
ENSDARG00000103046	0.3506082217491733	0.7519207941630361	8.043271466228065	1.3532429520679429e-5	0.0016871647940241677	3.6877780889868053
ENSDARG00000099197	2.0928590233990474	1.2671307353839727	8.002821780352514	1.412749470812387e-5	0.0017378702156953445	3.6451977072014135
ENSDARG00000058606	1.8838922534746692	1.5154238452074733	7.974814942408383	1.455618746389292e-5	0.0017670445466036327	3.6156024814306846
ENSDARG00000103428	0.8089372242753128	1.0537664514877623	7.919357046279843	1.544747560406012e-5	0.0018508884405592032	3.5567247276395353
ENSDARG00000018491	-1.0948890192887475	1.6424858739090005	-7.869948961430723	1.6291736937069538e-5	0.0019219738457658282	3.503960675525306
ENSDARG00000023062	0.8811155602090208	0.5176014947282072	7.856921512911189	1.65226242310604e-5	0.0019219738457658282	3.48999957060723
ENSDARG00000020258	0.8203606102097524	1.1852680557116853	7.848946814529343	1.6665717283900526e-5	0.0019219738457658282	3.48144326141699
ENSDARG00000013928	-0.5012604163012883	0.2665729578367761	-7.8180372601965304	1.7233223696295678e-5	0.0019517878382108876	3.448206934118584
ENSDARG00000070108	-0.5446654456514806	1.109558191830433	-7.81195547815662	1.7347344757564793e-5	0.0019517878382108876	3.441653741891974
ENSDARG00000052975	0.5836666986037691	0.4503061330318904	7.781559436781553	1.793017545265558e-5	0.001993057815978318	3.4088344575335583
ENSDARG00000061841	0.6712215413479241	0.647500092217209	7.728812668552386	1.899280077644055e-5	0.002072567928106148	3.3516158122963926
ENSDARG00000089976	-0.4044724565094645	2.1962832488184927	-7.722839226698186	1.911739633049994e-5	0.002072567928106148	3.345114521236864
ENSDARG00000003757	-0.7358916614068681	1.3011199282505772	-7.698318238626615	1.963826187087082e-5	0.002072567928106148	3.318380883766146
ENSDARG00000045352	-1.043974853336122	1.8613944303919503	-7.692933980870352	1.9754687891618265e-5	0.002072567928106148	3.3125008944052112
ENSDARG00000017441	2.203616565406926	0.9502484068031742	7.6889137127588585	1.9842109557448458e-5	0.002072567928106148	3.3081081538227863
ENSDARG00000001129	0.4241458386272956	0.5370579986491912	7.682004411200621	1.9993338998639405e-5	0.002072567928106148	3.3005540694017608
ENSDARG00000020467	0.5441369090904806	1.4638548760754757	7.666897132721977	2.0328391810719136e-5	0.0020838860316188305	3.2840164815233504
ENSDARG00000044501	-1.4941169121693982	0.7212372533857377	-7.655315592688503	2.0589386833788565e-5	0.0020874470651487177	3.2713193752209833
ENSDARG00000008188	0.48089929273110255	1.0702072411056547	7.580587015719977	2.2363635216568716e-5	0.002230234328532698	3.1889932304151447
ENSDARG00000055151	-0.46371794912501324	0.6437193844909544	-7.565713094293372	2.273625392265893e-5	0.002230234328532698	3.1725241880492607
ENSDARG00000029615	-0.3089334980307733	0.3843958009350749	-7.55748923772991	2.294517131795799e-5	0.002230234328532698	3.163406516439913
ENSDARG00000055283	0.8186762913497382	2.0132786355400176	7.555569814925911	2.299423194300623e-5	0.002230234328532698	3.1612772624941883
ENSDARG00000056525	0.4345195536260819	0.22317212304950954	7.533929290524398	2.3555330113684083e-5	0.002230234328532698	3.1372390726760457
ENSDARG00000077850	0.4407488368772356	0.7743380846457054	7.53385097814111	2.355738745045997e-5	0.002230234328532698	3.1371519770513423
ENSDARG00000004706	-0.5761903632759657	1.0442813240492934	-7.528822722701222	2.3689894233276003e-5	0.002230234328532698	3.131558158930739
ENSDARG00000089303	-0.4598363088613673	0.9089711267730378	-7.510327505816401	2.418430705874397e-5	0.002231409935984629	3.110955329114848
ENSDARG00000011564	0.5275963612975181	1.4118025247405084	7.509385511859899	2.4209786923495463e-5	0.002231409935984629	3.109904839456929
ENSDARG00000036489	-0.45952238828240133	0.735836132314657	-7.501363317921577	2.4427964831394702e-5	0.002231409935984629	3.100954149276422
ENSDARG00000070386	-0.4437484378300633	1.7810512236580203	-7.489336717401036	2.4759065344464036e-5	0.002239481734000247	3.087520386963199
ENSDARG00000070623	-0.4244140814137915	0.7585160123190132	-7.473852059643273	2.5192574375430304e-5	0.002256569817356505	3.070197079987759
ENSDARG00000070835	1.7532708232419587	0.6493660798966671	7.445906585426364	2.5995971703243833e-5	0.002300529903128386	3.0388565982237274
ENSDARG00000019231	0.4404873740114528	1.4163634757539088	7.439567742049626	2.618205504319104e-5	0.002300529903128386	3.0317338953262816
ENSDARG00000028173	0.6497971088083098	1.0678695638347377	7.411599646999641	2.7020554772467384e-5	0.0023444690510475755	3.000246305001397
ENSDARG00000007294	0.6797560143489821	1.9763780858578213	7.40484228959762	2.7227493869039084e-5	0.0023444690510475755	2.9926236683003005
ENSDARG00000029150	0.3681967006105054	3.597761941246974	7.39781695816521	2.7444467538818357e-5	0.0023444690510475755	2.984692569644544
ENSDARG00000060041	-0.5136646954096936	0.32161669656255026	-7.317538164769467	3.0061815103027906e-5	0.0025444982214728024	2.8936149099949144
ENSDARG00000000760	-0.510833404283766	0.30551338375544324	-7.27286013563211	3.163501747826599e-5	0.0026271889419466794	2.8425676271971465
ENSDARG00000052113	-0.6045371261655895	0.4879917337804289	-7.270006857634271	3.173848246287885e-5	0.0026271889419466794	2.8392988150057032
ENSDARG00000021140	0.7925557905884878	0.8126436812868867	7.26576343320894	3.189303723152266e-5	0.0026271889419466794	2.83443545152533
ENSDARG00000045490	0.498991690079077	1.8094070822303405	7.242930339252831	3.2738828773628065e-5	0.002666163581669598	2.8082264490383544
ENSDARG00000044540	-0.5471852153691186	1.2821996721165072	-7.2374843172231325	3.294414137332909e-5	0.002666163581669598	2.8019652144591927
ENSDARG00000101569	0.802313692137536	0.690435386375327	7.2183180248118575	3.36778999088033e-5	0.0026877414239309364	2.779899210159396
ENSDARG00000030913	0.5228191358591462	1.0492132931479226	7.207882183700884	3.408487289445021e-5	0.0026877414239309364	2.7678643618328334
ENSDARG00000068457	2.1713570185263706	1.0387575123315638	7.196985179040111	3.451553837792904e-5	0.0026877414239309364	2.7552825054237946
ENSDARG00000019239	0.2840349323309099	0.8815725507459126	7.194277496434819	3.462346428506841e-5	0.0026877414239309364	2.7521537632388373
ENSDARG00000028546	0.4628886787506798	1.7150013423862271	7.193178396618868	3.46673780021441e-5	0.0026877414239309364	2.750883473626944
ENSDARG00000097537	0.44436886565591455	0.6272207970521352	7.180202069041622	3.5190435680943376e-5	0.0027055579966031966	2.735874067507531
ENSDARG00000086336	-0.4465009502968937	0.19022193102448065	-7.152884980578245	3.6319781799912103e-05	0.002764369130353254	2.704204874858471
ENSDARG00000038737	0.4265651121176565	0.8361061688085687	7.143565547081173	3.6714022170448014e-5	0.002764369130353254	2.693378255744264
ENSDARG00000045160	-0.4924686230403157	0.8116341176602612	-7.140276645932544	3.6854260029639087e-05	0.002764369130353254	2.6895547282432357
ENSDARG00000043680	0.4219829649603569	0.8660226375058568	7.10937053116555	3.820087134932619e-5	0.0028422680570071245	2.653555015429477
ENSDARG00000041797	1.12258762144297	0.7937286193213889	7.079602638857136	3.9548527605203994e-5	0.0029000424826516502	2.6187617580818934
ENSDARG00000102076	-1.4225866347937688	2.4279868588200815	-7.073139821430627	3.9847880272703755e-5	0.0029000424826516502	2.6111923843603524
ENSDARG00000079276	0.26139125279201775	-0.07016645707865937	7.066765938950878	4.014552419216812e-5	0.0029000424826516502	2.603721742707643
ENSDARG00000062834	0.28874299939871123	0.436014613147538	7.047083119414414	4.1079997203761106e-5	0.0029000424826516502	2.580618002969837
ENSDARG00000034916	-0.48605993054639335	0.8170319756611372	-7.041637503181872	4.134268731806178e-5	0.0029000424826516502	2.574216821407683
ENSDARG00000056331	1.2342184417059803	2.2910067378348327	7.038181657353856	4.151033857796465e-5	0.0029000424826516502	2.570152514701107
ENSDARG00000074533	0.8370120155174444	0.7257082465281797	7.036280385820345	4.16028883010065e-5	0.0029000424826516502	2.56791581303035
ENSDARG00000079202	-0.30748125055477926	0.46599230147837056	-7.035575614814066	4.163725188216447e-5	0.0029000424826516502	2.5670865810115497
ENSDARG00000057826	0.6565678803819076	0.4299389458081033	7.032116126178223	4.1806378733218024e-5	0.0029000424826516502	2.5630151938647128
ENSDARG00000090156	-0.3820800161982497	-0.12698990841264665	-7.010780196857733	4.286606637582884e-5	0.002951360659577589	2.5378701594755206
ENSDARG00000035327	2.264164626093039	1.1198192749589835	6.997649036819013	4.35327168963039e-5	0.0029636151038775187	2.522364445759548
ENSDARG00000069763	0.43320776143431394	0.44719457207112895	6.9930558285722055	4.376855679665999e-5	0.0029636151038775187	2.5169351826759208
ENSDARG00000098670	0.30341689197658217	0.2458306172020629	6.988425149340429	4.400772482454152e-5	0.0029636151038775187	2.511458766919432
ENSDARG00000071570	-0.3201371889356692	0.5610704765321071	-6.975972724330477	4.465793800934289e-5	0.002985609681697083	2.4967177980635125
ENSDARG00000016745	-0.3152330750608677	0.6057544428355692	-6.966073002327586	4.518229827822659e-5	0.00299893441665409	2.4849838250315557
ENSDARG00000101009	-0.7395420278572036	1.102488054808616	-6.943896296269441	4.638134194689378e-5	0.0030450135157762646	2.458650329388181
ENSDARG00000041887	0.36362939692544605	0.8068594173617427	6.928513581316638	4.7233310085064044e-5	0.0030450135157762646	2.4403453760842257
ENSDARG00000042187	0.2725281023724943	0.6810147858811311	6.927597922631761	4.728455626247383e-5	0.0030450135157762646	2.439254764142765
ENSDARG00000077093	0.2803230066886322	0.667622978113733	6.919539607109638	4.773816167672133e-5	0.0030450135157762646	2.4296518790265136
ENSDARG00000016260	0.27088468196041543	0.3707065716618966	6.9178185498423375	4.783565105442442e-5	0.0030450135157762646	2.4275998031707946
ENSDARG00000014171	-0.4203418479840732	0.5921314679793417	-6.917445458026467	4.78568133305396e-5	0.0030450135157762646	2.42715490016389
