geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0006613	cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006613	62	21	2.8040634567214027	7.489131513647643	1.3566925360919413e-13	7.735773133177304e-10	6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6746;7311;25873;133022	ENSG00000171858;ENSG00000182899;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000221983;ENSG00000174599;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000156482;ENSG00000163479;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0006413	translational initiation	http://amigo.geneontology.org/amigo/term/GO:0006413	135	30	6.105622042861119	4.913504273504273	2.5202062658991053e-13	7.735773133177304e-10	1968;3646;4528;4869;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;7311;8664;8666;8667;8668;25873;27335;83939;219402	ENSG00000171858;ENSG00000182899;ENSG00000137154;ENSG00000142676;ENSG00000181163;ENSG00000130255;ENSG00000105193;ENSG00000221983;ENSG00000100353;ENSG00000178982;ENSG00000105372;ENSG00000130811;ENSG00000182774;ENSG00000144895;ENSG00000071082;ENSG00000130741;ENSG00000104408;ENSG00000156482;ENSG00000147677;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000085760;ENSG00000084623;ENSG00000122033;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006614	59	20	2.6683829668800447	7.495176010430247	5.115907697472721e-13	1.0468852451595012e-9	6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;7311;25873;133022	ENSG00000171858;ENSG00000182899;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000221983;ENSG00000174599;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000156482;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0045047	protein targeting to ER	http://amigo.geneontology.org/amigo/term/GO:0045047	69	20	3.1206512663512385	6.40891861761427	1.3822942790397974e-11	2.121476144756329e-8	6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;7311;25873;133022	ENSG00000171858;ENSG00000182899;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000221983;ENSG00000174599;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000156482;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0072599	establishment of protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0072599	73	20	3.3015585861397163	6.057744994731296	4.3328340915138597e-11	5.3198536975607165e-8	6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;7311;25873;133022	ENSG00000171858;ENSG00000182899;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000221983;ENSG00000174599;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000156482;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	http://amigo.geneontology.org/amigo/term/GO:0000184	82	21	3.7086000556637906	5.662514071294559	5.753153509147069e-11	5.886434898775642e-8	3646;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;7311;25873;55802	ENSG00000171858;ENSG00000182899;ENSG00000272886;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000221983;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000104408;ENSG00000156482;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0070972	protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0070972	97	22	4.387002504870582	5.0148136399682794	2.605076154793551e-10	2.284651787753944e-7	6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;7311;10945;25873;64714;133022	ENSG00000171858;ENSG00000182899;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000221983;ENSG00000174599;ENSG00000105438;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000185615;ENSG00000156482;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0061564	axon development	http://amigo.geneontology.org/amigo/term/GO:0061564	468	53	21.16615641525188	2.503997370151216	6.076863456883075e-10	4.6632330952256495e-7	347;351;706;1123;1495;1630;1808;2549;2596;2664;2736;3800;3908;3913;4131;4135;4628;4756;4804;4897;4916;5080;5454;5457;5598;5797;6091;6092;6259;6277;6464;6993;7474;7852;8408;9638;10154;10494;23022;23129;23191;23654;23767;23768;26050;51062;55558;57556;79006;84628;90249;91653;113246	ENSG00000092421;ENSG00000184486;ENSG00000144857;ENSG00000109458;ENSG00000074047;ENSG00000185070;ENSG00000121966;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000172020;ENSG00000129116;ENSG00000189058;ENSG00000111678;ENSG00000185008;ENSG00000172037;ENSG00000100300;ENSG00000130827;ENSG00000160691;ENSG00000004399;ENSG00000115694;ENSG00000067141;ENSG00000163785;ENSG00000196576;ENSG00000128656;ENSG00000168280;ENSG00000007372;ENSG00000169855;ENSG00000197956;ENSG00000044115;ENSG00000140538;ENSG00000142192;ENSG00000113763;ENSG00000203879;ENSG00000133026;ENSG00000136040;ENSG00000171533;ENSG00000196358;ENSG00000092964;ENSG00000173482;ENSG00000177169;ENSG00000149557;ENSG00000091129;ENSG00000187323;ENSG00000196569;ENSG00000152192;ENSG00000146425;ENSG00000165300;ENSG00000131711;ENSG00000125848;ENSG00000198513;ENSG00000166484
GO:0007409	axonogenesis	http://amigo.geneontology.org/amigo/term/GO:0007409	430	49	19.447536877261342	2.519599284436494	2.258309761415944e-9	1.5404181805924978e-6	351;1123;1630;1808;2549;2596;2664;2736;3800;3908;3913;4131;4135;4628;4756;4804;4897;4916;5080;5454;5457;5598;5797;6091;6092;6259;6277;6464;7474;7852;8408;9638;10154;10494;23022;23129;23191;23654;23767;23768;26050;51062;55558;57556;79006;84628;90249;91653;113246	ENSG00000092421;ENSG00000184486;ENSG00000144857;ENSG00000109458;ENSG00000074047;ENSG00000185070;ENSG00000121966;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000172020;ENSG00000129116;ENSG00000111678;ENSG00000185008;ENSG00000172037;ENSG00000130827;ENSG00000160691;ENSG00000004399;ENSG00000115694;ENSG00000067141;ENSG00000163785;ENSG00000196576;ENSG00000128656;ENSG00000168280;ENSG00000007372;ENSG00000169855;ENSG00000197956;ENSG00000140538;ENSG00000142192;ENSG00000113763;ENSG00000203879;ENSG00000133026;ENSG00000136040;ENSG00000171533;ENSG00000196358;ENSG00000092964;ENSG00000173482;ENSG00000177169;ENSG00000149557;ENSG00000091129;ENSG00000187323;ENSG00000196569;ENSG00000152192;ENSG00000165300;ENSG00000131711;ENSG00000125848;ENSG00000198513;ENSG00000166484
GO:0007411	axon guidance	http://amigo.geneontology.org/amigo/term/GO:0007411	246	34	11.125800166991372	3.0559599749843653	5.840384398325682e-9	3.585411982132136e-6	351;1123;1630;1808;2549;2596;2736;3800;3908;3913;4628;4756;4897;5080;5598;5797;6091;6092;6259;6464;7474;7852;9638;10154;23022;23129;23191;23654;23767;23768;55558;57556;90249;91653	ENSG00000092421;ENSG00000144857;ENSG00000109458;ENSG00000074047;ENSG00000185070;ENSG00000121966;ENSG00000114251;ENSG00000273749;ENSG00000172020;ENSG00000129116;ENSG00000185008;ENSG00000172037;ENSG00000130827;ENSG00000160691;ENSG00000004399;ENSG00000067141;ENSG00000163785;ENSG00000196576;ENSG00000128656;ENSG00000168280;ENSG00000007372;ENSG00000169855;ENSG00000142192;ENSG00000113763;ENSG00000133026;ENSG00000136040;ENSG00000092964;ENSG00000173482;ENSG00000149557;ENSG00000091129;ENSG00000187323;ENSG00000196569;ENSG00000125848;ENSG00000166484
