refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR3189691	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		TET2.FLT3_veh_2 RNA-Seq	vehicle
SRR3189693	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		TET2.FLT3_veh_4 RNA-Seq	vehicle
SRR3189689	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		IDH2.FLT3_ag221_4 RNA-Seq	ag-221
SRR3189694	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		TET2.FLT3_azaC_1 RNA-Seq	5-aza
SRR3189696	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		TET2.FLT3_azaC_3 RNA-Seq	5-aza
SRR3189681	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		WT-3 RNA-Seq	none
SRR3189687	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		IDH2.FLT3_ag221_2 RNA-Seq	ag-221
SRR3189688	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		IDH2.FLT3_ag221_3 RNA-Seq	ag-221
SRR3189697	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		TET2.FLT3_azaC_4 RNA-Seq	5-aza
SRR3189682	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		WT-4 RNA-Seq	none
SRR3189680	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		WT-2 RNA-Seq	none
SRR3189679	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		WT-1 RNA-Seq	none
SRR3189686	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		IDH2.FLT3_ag221_1 RNA-Seq	ag-221
SRR3189692	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		TET2.FLT3_veh_3 RNA-Seq	vehicle
SRR3189685	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		IDH2.FLT3_veh_3 RNA-Seq	vehicle
SRR3189690	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		TET2.FLT3_veh_1 RNA-Seq	vehicle
SRR3189695	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		TET2.FLT3_azaC_2 RNA-Seq	5-aza
SRR3189683	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		IDH2.FLT3_veh_1 RNA-Seq	vehicle
SRR3189684	SRP070849							MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA	lin-sca+ckit+	hematopoietic stem cells		IDH2.FLT3_veh_2 RNA-Seq	vehicle
