userid	genesymbol	genename	entrezgene
ENSDARG00000040971	zgc:92606	zgc:92606	100000242
ENSDARG00000091234	si:ch73-335l21.4	si:ch73-335l21.4	100000332
ENSDARG00000069527	ube2g1b	ubiquitin-conjugating enzyme E2G 1b (UBC7 homolog, yeast)	100000479
ENSDARG00000027749	hirip3	HIRA interacting protein 3	100000570
ENSDARG00000103101	si:ch211-235e9.6	si:ch211-235e9.6	100000992
ENSDARG00000076474	org	oogenesis-related gene	100001110
ENSDARG00000026654	gosr1	golgi SNAP receptor complex member 1	100001316
ENSDARG00000058561	fbxo30a	F-box protein 30a	100001417
ENSDARG00000102097	nfkbiz	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	100001781
ENSDARG00000068894	nrip1b	nuclear receptor interacting protein 1b	100001853
ENSDARG00000060306	tfcp2	transcription factor CP2	100001906
ENSDARG00000043179	bag4	BCL2-associated athanogene 4	100001980
ENSDARG00000061664	zgc:162707	zgc:162707	100002095
ENSDARG00000057114	zgc:101819	zgc:101819	100002184
ENSDARG00000069608	zmp:0000000722	zmp:0000000722	100002543
ENSDARG00000059455	dqx1	DEAQ box RNA-dependent ATPase 1	100002601
ENSDARG00000078691	NA	GRB10 interacting GYF protein 1	100002679
ENSDARG00000091531	carm1l	coactivator-associated arginine methyltransferase 1, like	100003090
ENSDARG00000028228	zbtb18	zinc finger and BTB domain containing 18	100003157
ENSDARG00000105575	si:dkey-6n21.12	si:dkey-6n21.12	100003436
ENSDARG00000022944	ecd	ecdysoneless homolog (Drosophila)	100003562
ENSDARG00000068457	tnnt3b	troponin T type 3b (skeletal, fast)	100003572
ENSDARG00000069422	nhp2	NHP2 ribonucleoprotein homolog (yeast)	100003787
ENSDARG00000027187	kat8	K(lysine) acetyltransferase 8	100003790
ENSDARG00000041140	ddb2	damage-specific DNA binding protein 2	100004133
ENSDARG00000038587	LOC100004199	uncharacterized LOC100004199	100004199
ENSDARG00000074060	map3k14a	mitogen-activated protein kinase kinase kinase 14a	100004261
ENSDARG00000090965	ripk3	receptor-interacting serine-threonine kinase 3	100004555
ENSDARG00000069603	taok1a	TAO kinase 1a	100004576
ENSDARG00000036394	pop7	POP7 homolog, ribonuclease P/MRP subunit	100004610
ENSDARG00000102320	mob1a	MOB kinase activator 1A	100005014
ENSDARG00000098772	gig2d	grass carp reovirus (GCRV)-induced gene 2d	100005232
ENSDARG00000006074	uck2a	uridine-cytidine kinase 2a	100005763
ENSDARG00000023309	spryd4	SPRY domain containing 4	100005939
ENSDARG00000077515	letm2	leucine zipper-EF-hand containing transmembrane protein 2	100006201
ENSDARG00000077461	dhx32a	DEAH (Asp-Glu-Ala-His) box polypeptide 32a	100006246
ENSDARG00000059483	tead1b	TEA domain family member 1b	100006454
ENSDARG00000076221	zgc:198419	zgc:198419	100006523
ENSDARG00000045150	csnk1e	casein kinase 1, epsilon	100006858
ENSDARG00000077818	nrg2a	neuregulin 2a	100006951
ENSDARG00000068981	glceb	glucuronic acid epimerase b	100007670
ENSDARG00000079202	parp2	poly (ADP-ribose) polymerase 2	100007906
ENSDARG00000075161	defbl1	defensin, beta-like 1	100009619
ENSDARG00000099240	acap3b	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3b	100009646
ENSDARG00000058462	zgc:158846	zgc:158846	100009654
ENSDARG00000017423	patl1	protein associated with topoisomerase II homolog 1 (yeast)	100009659
ENSDARG00000071589	si:dkey-253d23.2	si:dkey-253d23.2	100034432
ENSDARG00000063219	ubap2l	ubiquitin associated protein 2-like	100034477
ENSDARG00000071468	mrpl54	mitochondrial ribosomal protein L54	100034614
ENSDARG00000017653	rgs13	regulator of G-protein signaling 13	100037359
ENSDARG00000078585	mon1a	MON1 secretory trafficking family member A	100073333
ENSDARG00000092885	zgc:171977	zgc:171977	100124621
ENSDARG00000056410	fdx1	ferredoxin 1	100126232
ENSDARG00000103914	si:ch73-52e5.2	si:ch73-52e5.2	100142654
ENSDARG00000104414	shmt2	serine hydroxymethyltransferase 2 (mitochondrial)	100144628
ENSDARG00000059360	srsf3b	serine/arginine-rich splicing factor 3b	100145909
ENSDARG00000009390	npl	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	100148292
ENSDARG00000069397	zswim8	zinc finger, SWIM-type containing 8	100148379
